,Uniform,Gaussian,Nearly Sorted,Fully Sorted,Reversed,Few Unique Values
0,7360,6276,0,0,9999,9
1,8362,-9910,1,1,9998,9
2,7517,-33478,2,2,9997,1
3,142,15773,3,3,9996,2
4,4688,4289,4,4,9995,5
5,5001,16292,5,5,9994,5
6,6639,-6374,6,6,9993,1
7,8237,8983,7,7,9992,1
8,6074,-17176,8,8,9991,3
9,9340,-6115,6353,9,9990,3
10,2889,1043,10,10,9989,2
11,1187,11146,11,11,9988,1
12,9436,781,12,12,9987,0
13,2727,-6595,13,13,9986,0
14,2128,7275,5349,14,9985,2
15,2058,-3474,15,15,9984,8
16,1809,26775,16,16,9983,2
17,2732,1137,17,17,9982,0
18,1249,9776,18,18,9981,0
19,3761,-19658,19,19,9980,8
20,5569,1223,774,20,9979,9
21,5513,22207,21,21,9978,8
22,5371,-15365,22,22,9977,0
23,9298,5995,1302,23,9976,9
24,3251,-3156,6120,24,9975,3
25,2191,-13420,1556,25,9974,3
26,5141,5463,26,26,9973,2
27,6584,-15378,27,27,9972,6
28,2804,-4665,28,28,9971,2
29,2706,-1612,29,29,9970,7
30,7752,3238,30,30,9969,6
31,3176,1069,31,31,9968,1
32,5868,555,32,32,9967,7
33,1071,19730,33,33,9966,8
34,3495,17192,34,34,9965,5
35,330,1352,35,35,9964,6
36,2619,182,36,36,9963,9
37,885,7867,37,37,9962,4
38,8398,17781,38,38,9961,8
39,6081,5638,39,39,9960,2
40,8604,11108,40,40,9959,5
41,6398,-8326,41,41,9958,6
42,1736,-3045,42,42,9957,7
43,1497,-2761,43,43,9956,3
44,101,5477,44,44,9955,6
45,2192,-14149,45,45,9954,9
46,8954,-1538,46,46,9953,6
47,3716,-295,47,47,9952,7
48,9388,-4452,1862,48,9951,1
49,863,-3337,49,49,9950,9
50,3129,6604,50,50,9949,6
51,5512,14422,51,51,9948,4
52,4125,-8731,52,52,9947,4
53,9311,4067,53,53,9946,3
54,3831,4825,54,54,9945,2
55,5773,-4299,55,55,9944,9
56,7256,-3880,56,56,9943,1
57,8354,-3773,57,57,9942,4
58,1690,5632,58,58,9941,4
59,3710,-14337,59,59,9940,0
60,8937,15288,60,60,9939,8
61,1478,14507,61,61,9938,9
62,1929,11118,62,62,9937,0
63,3691,4510,63,63,9936,9
64,4475,-4305,64,64,9935,3
65,6306,-14701,65,65,9934,4
66,8429,6835,66,66,9933,1
67,6084,-4524,67,67,9932,6
68,6325,-4194,68,68,9931,8
69,5313,-306,5780,69,9930,6
70,2663,-1191,1993,70,9929,4
71,6543,25102,71,71,9928,1
72,7048,-16686,72,72,9927,6
73,7324,18048,73,73,9926,8
74,4754,-13900,74,74,9925,7
75,5445,5110,75,75,9924,6
76,2857,2230,76,76,9923,3
77,9333,-8698,77,77,9922,1
78,4398,8338,78,78,9921,9
79,522,6543,79,79,9920,8
80,3903,-9688,9531,80,9919,1
81,9676,6486,1472,81,9918,9
82,1932,-1017,82,82,9917,0
83,3280,-8179,83,83,9916,9
84,3565,5886,84,84,9915,3
85,5624,4150,886,85,9914,1
86,9859,-11570,86,86,9913,6
87,4525,-5330,319,87,9912,5
88,2688,-4199,88,88,9911,3
